position_h,position_v,action_h,action_v,value
3,0,-1,-1,-12.798319027083004
3,0,-1,0,-13.056284690518467
3,0,-1,1,-12.76720691524055
3,0,0,-1,-12.842399909372615
3,0,0,1,-11.914691162728289
3,0,1,-1,-11.943855641595768
3,0,1,0,-12.171763314718081
3,0,1,1,-11.64420129847057
2,0,-1,-1,-14.420882407256858
2,0,-1,0,-14.492794547253455
2,0,-1,1,-14.19817983687405
2,0,0,-1,-13.20429920882793
2,0,0,1,-13.728545560916835
2,0,1,-1,-13.308020855439235
2,0,1,0,-12.070161645738331
2,0,1,1,-13.315581212847345
1,0,-1,-1,-14.5915892786495
1,0,-1,0,-14.473468557601002
1,0,-1,1,-14.620184772252381
1,0,0,-1,-15.143559983801918
1,0,0,1,-14.488439778588576
1,0,1,-1,-14.802657354313919
1,0,1,0,-14.619954932215062
1,0,1,1,-13.820676984732707
0,0,-1,-1,-14.138893645284625
0,0,-1,0,-14.635978564779368
0,0,-1,1,-14.411180994624758
0,0,0,-1,-14.499601058756545
0,0,0,1,-14.29017494084862
0,0,1,-1,-13.788086492732706
0,0,1,0,-14.63269673135635
0,0,1,1,-14.392369641347987
0,1,-1,-1,-14.400515424745361
0,1,-1,0,-14.519425758244456
0,1,-1,1,-14.111868681227271
0,1,0,-1,-14.255494423328162
0,1,0,1,-14.117710183373543
0,1,1,-1,-14.161926842805514
0,1,1,0,-14.454955699248334
0,1,1,1,-14.406067934883119
1,1,-1,0,-14.194315431254367
0,2,-1,-1,-13.99365978269521
0,2,-1,0,-14.326245108204585
0,2,-1,1,-13.914339951025584
0,2,0,-1,-14.323414212967064
0,2,0,1,-14.169728811522106
0,2,1,-1,-13.995552103098593
0,2,1,0,-14.124445763965586
0,2,1,1,-13.119200208051481
0,3,-1,-1,-14.347725816010492
0,3,-1,0,-14.426976876623963
0,3,-1,1,-12.7126254853628
0,3,0,-1,-14.05666530694783
0,3,0,1,-12.969371716896253
0,3,1,-1,-14.501945109919959
0,3,1,0,-13.768153963868757
0,3,1,1,-12.265419505827573
1,1,-1,-1,-14.837885490508016
1,1,-1,1,-14.241795519023926
1,1,0,-1,-14.630189747767224
1,1,0,1,-14.491030343992675
1,1,1,-1,-14.44164994513586
1,1,1,0,-12.803836026310123
1,1,1,1,-14.138578255179443
0,4,-1,-1,-13.434170727135609
0,4,-1,0,-13.896551773698835
0,4,-1,1,-12.591725208757584
0,4,0,-1,-13.558196613298165
0,4,0,1,-11.2093146199768
0,4,1,-1,-13.120956943657998
0,4,1,0,-13.113087587191432
0,4,1,1,-13.35940620671408
2,1,-1,-1,-14.675509924239336
2,1,-1,0,-14.117186846519118
2,1,-1,1,-14.74347273744323
2,1,0,-1,-14.325851573088524
2,1,0,1,-13.559335549165644
2,1,1,-1,-13.520506652698854
2,1,1,0,-12.489443994244674
2,1,1,1,-13.848262503805511
1,2,-1,-1,-14.53604402883516
1,2,-1,0,-14.57420424284446
1,2,-1,1,-14.077670718796274
1,2,0,-1,-14.486036930959044
1,2,0,1,-14.155928050978815
1,2,1,-1,-14.09736775137669
1,2,1,0,-14.19348079869798
1,2,1,1,-14.181241849994622
0,5,-1,-1,-12.313667717848158
0,5,-1,0,-11.94136176863635
0,5,-1,1,-11.061012884318078
0,5,0,-1,-12.88198058836647
0,5,0,1,-9.555499586593516
0,5,1,-1,-12.773340419983437
0,5,1,0,-11.952514341613643
0,5,1,1,-11.42442897354902
0,6,-1,-1,-10.797847833247541
0,6,-1,0,-10.829247355838074
0,6,-1,1,-10.437039840594046
0,6,0,-1,-11.705797115254382
0,6,0,1,-8.094503676489047
0,6,1,-1,-11.30194546144862
0,6,1,0,-10.660019519072303
0,6,1,1,-10.660771066153394
1,3,-1,-1,-14.146011968419547
1,3,-1,0,-13.544151455583167
1,3,-1,1,-13.57854986227707
1,3,0,-1,-14.08080611364732
1,3,0,1,-13.232046334120872
1,3,1,-1,-13.636175933901349
1,3,1,0,-13.7896661258608
1,3,1,1,-13.232393887564498
3,1,-1,-1,-12.78815603963641
3,1,-1,0,-14.19117825339707
3,1,-1,1,-14.557863050186986
3,1,0,-1,-12.820570005672911
3,1,0,1,-13.017867833639103
3,1,1,-1,-11.79754302395363
3,1,1,0,-11.442583306232788
3,1,1,1,-12.181584418166903
2,2,-1,-1,-14.185090537398716
2,2,-1,0,-14.480345462728133
2,2,-1,1,-13.696093402766937
2,2,0,-1,-13.799787491547129
2,2,0,1,-13.320350470832445
2,2,1,-1,-14.170632689612226
2,2,1,0,-9.739471841582525
2,2,1,1,-13.903837515705476
0,7,-1,-1,-10.106581600354684
0,7,-1,0,-10.404394261834714
0,7,-1,1,-6.796664678238435
0,7,0,-1,-10.71935572413777
0,7,0,1,-10.016450458612344
0,7,1,-1,-10.658547623511774
0,7,1,0,-10.675948984763277
0,7,1,1,-10.31218203202964
0,8,-1,-1,-10.1732201796979
0,8,-1,0,-7.517945890288186
0,8,-1,1,-6.050521436382878
0,8,0,-1,-10.542917247308058
0,8,0,1,-8.217046571991236
0,8,1,-1,-10.375969879124934
0,8,1,0,-8.608871375794967
0,8,1,1,-7.835614543828995
0,9,-1,-1,-10.110769263198389
0,9,-1,0,-6.4507501355089625
0,9,-1,1,-6.12701201665811
0,9,0,-1,-8.860735155394494
0,9,0,1,-8.284135422113618
0,9,1,-1,-7.555137566579495
0,9,1,0,-4.75585507413474
0,9,1,1,-8.262662556953394
4,0,-1,-1,-12.811843805329849
4,0,-1,0,-12.29818257401146
4,0,-1,1,-12.576650911199156
4,0,0,-1,-11.620767953245547
4,0,0,1,-11.679158311635689
4,0,1,-1,-11.432487828576058
4,0,1,0,-11.399200823025922
4,0,1,1,-10.38710189244733
4,1,-1,-1,-12.634655532424938
4,1,-1,0,-12.755140572739672
4,1,-1,1,-12.80078369057853
4,1,0,-1,-11.141209724066439
4,1,0,1,-9.474160272500306
4,1,1,-1,-9.919679642667266
4,1,1,0,-9.8833051380156
4,1,1,1,-8.823055071025745
5,0,-1,-1,-12.293423167088797
5,0,-1,0,-11.898694978331562
5,0,-1,1,-11.134958162538112
5,0,0,-1,-11.423188606038536
5,0,0,1,-11.110195950347894
5,0,1,-1,-10.167357775811105
5,0,1,0,-11.712645501773924
5,0,1,1,-11.489412870279429
3,2,-1,-1,-13.299451660478383
3,2,-1,0,-12.637798530114885
3,2,-1,1,-13.823032619957347
3,2,0,-1,-11.35516806726962
3,2,0,1,-13.677799283068293
3,2,1,-1,-11.244815489389346
3,2,1,0,-11.267092197533366
3,2,1,1,-7.712255537675341
2,3,-1,-1,-14.641995392048052
2,3,-1,0,-13.278037997114254
2,3,-1,1,-13.658880457825905
2,3,0,-1,-13.980127747593416
2,3,0,1,-12.253521824965452
2,3,1,-1,-12.656830455280845
2,3,1,0,-14.593149387174353
2,3,1,1,-14.0029603161624
5,1,1,0,-9.660424230564516
6,1,-1,-1,-11.714773824284418
6,1,-1,0,-10.158252099301697
6,1,-1,1,-9.74449386156461
6,1,0,-1,-10.607554012502273
6,1,0,1,-9.258568471424567
6,1,1,-1,-10.716854829050682
6,1,1,0,-10.564850098677269
6,1,1,1,-6.975397807240368
1,8,-1,-1,-9.386832417800349
1,8,-1,0,-8.438466661748942
1,8,-1,1,-7.82023800634923
1,8,0,-1,-8.705722932242494
1,8,0,1,-7.971001439032489
1,8,1,-1,-9.751199045407134
1,8,1,0,-8.255931330922145
1,8,1,1,-5.58697918660584
1,9,1,1,-6.501804734741948
2,9,-1,-1,-7.39608720732083
2,9,-1,0,-7.112626922620494
2,9,-1,1,-6.597612601307871
2,9,0,-1,-8.027753357531164
2,9,0,1,-5.852134070172452
2,9,1,-1,-2.000000000001638
2,9,1,0,-4.672927986615002
2,9,1,1,-3.9949104469869146
1,9,-1,-1,-8.302675668471199
1,9,-1,0,-8.615993804880576
1,9,-1,1,-7.804643284012746
1,9,0,-1,-8.452835672510542
1,9,0,1,-6.9973362775530275
1,9,1,-1,-6.58456517904753
1,9,1,0,-3.205356596892935
2,8,-1,-1,-9.018079340747956
2,8,-1,0,-8.101499831672736
2,8,-1,1,-8.792063351337845
2,8,0,-1,-9.413099495759948
2,8,0,1,-8.800536100828193
2,8,1,-1,-8.948104329117012
2,8,1,0,-8.739573168226684
2,8,1,1,-4.742116590760931
4,2,-1,-1,-11.850209287425017
4,2,-1,0,-8.562865817530929
4,2,-1,1,-13.57086931846505
4,2,0,-1,-11.091976863000333
4,2,0,1,-11.715106067656965
4,2,1,-1,-10.334113814086285
4,2,1,0,-9.95254672749486
4,2,1,1,-11.105507288691596
1,4,-1,-1,-13.345898442689293
1,4,-1,0,-13.085074808725292
1,4,-1,1,-12.564388065557345
1,4,0,-1,-13.07745365216433
1,4,0,1,-10.976381269687474
1,4,1,-1,-13.972987909295759
1,4,1,0,-12.503211621882219
1,4,1,1,-12.93243374679569
3,3,-1,-1,-14.257397481461759
3,3,-1,0,-13.56277148049892
